,LD1
120000,-9.433109538059767e-16
120100,-7.799365539087057e-16
120200,1.4760058849815663e-15
120300,1.642252850017822e-15
120400,3.0873458261347136e-15
120500,2.551518436284439e-16
120600,4.241402272235895e-16
120700,1.5302696893935815e-15
120800,-1.3569569023921765e-15
120900,3.1200967706996582e-15
121000,0.0002941640172201338
121100,0.00022722104478850943
121200,0.0002033812343659532
121300,0.00013599358727717743
121400,2.866883617514432e-05
121500,-3.008168791573921e-06
121600,0.0001731078134210822
121700,0.00018092732747987885
121800,0.00012935850314499902
121900,0.0002628191932497945
122000,0.0002538653087902233
122100,7.558311515079546e-05
122200,5.598157561009489e-05
122300,0.00022787220937057608
122400,0.0001861085151769176
122500,0.00018194290247619204
122600,0.0002490868657979704
122700,0.0003153951200796752
122800,0.00017483507841434614
122900,-0.0002679917320060808
123000,0.00011029721644445497
123100,0.00014456682310726285
123200,0.00016658256231003244
123300,7.285277234353644e-06
123400,8.277314228087316e-05
123500,7.13741659070975e-05
123600,6.23817090043038e-05
123700,6.0393677400543755e-05
123800,6.456904949835768e-05
123900,7.433894755707465e-05
124000,9.174343826359915e-05
124100,0.00010810486303665673
124200,0.00012997408027187336
124300,0.00015900468538003392
124400,0.00019382648947026878
124500,0.00023431996336751275
124600,0.00028528378112582055
124700,7.36308007843408e-18
124800,-3.5582497138603206e-17
124900,9.967225501560987e-17
125000,-3.7875058587099916e-17
125100,9.877036432625993e-18
125200,-7.612860427484392e-18
125300,1.3819126034746546e-18
125400,-1.9890262048680446e-17
125500,-1.2163103142012999e-17
125600,1.116823175839153e-17
125700,-1.6720992793386373e-16
125800,-5.905600721770856e-17
125900,1.5815765922532254e-17
126000,-2.323090596338276e-17
126100,-9.056300056839514e-18
126200,-1.1716308835169554e-17
126300,2.4975348355909627e-17
126400,8.577383801196175e-18
126500,-7.43632670009e-18
126600,2.084205440052459e-17
126700,5.496694530781845e-18
126800,2.1245526345325377e-17
126900,4.024026155248501e-18
127000,5.24203285448866e-18
127100,6.622861913015565e-18
127200,3.6099610133959065e-17
127300,-2.0743288427432547e-17
127400,-9.547639057769983e-18
127500,0.0
127600,0.0
127700,0.0
127800,0.0
127900,0.0
128000,0.0
128100,0.0
128200,0.0
128300,0.0
128400,0.0
128500,0.0
128600,0.0
128700,0.0
128800,0.0
128900,0.0
129000,0.0
129100,0.0
129200,0.0
129300,0.0
129400,0.0
129500,0.0
129600,0.0
129700,0.0
129800,0.0
129900,0.0
130000,0.0
130100,0.0
130200,-0.0007255791842150319
130300,-0.0004976883509123618
130400,-0.0004098304682733468
130500,-0.00039391173779299634
130600,-0.0004138729618880939
130700,-0.00044929246467736224
130800,-0.0005041248779219598
130900,-0.0005865476545606654
131000,-0.0004938709842327911
131100,-0.0002772576055189894
131200,-0.0002754109944894475
131300,-0.00030095084755480913
131400,-0.000344598422222036
131500,0.0
131600,0.0
131700,0.0
131800,0.0
131900,0.0
132000,0.0
132100,-0.0015412128889402343
132200,-0.0009251985504915648
132300,-0.0004894198481009967
132400,-0.0003299030537718085
132500,-0.00022783377320874585
132600,-0.00017542437581473532
132700,-0.00015881618593847338
132800,-0.0001544806528066325
132900,0.0004026462627309934
133000,0.0004568492685814033
133100,0.0004920802811950222
133200,0.0005214169235585028
133300,0.0005580173348360318
133400,0.0006755372070614688
133500,-0.00017665312834948854
133600,-0.0001379708986002368
133700,-0.00021756995164532404
133800,-0.00021756796811678053
133900,-0.00012448102816746848
134000,-0.0006165152192721732
134100,0.0
134200,0.0
134300,0.0
134400,0.0
134500,0.0
134600,0.0
134700,-0.00025743938220145184
134800,-0.00016065772428108514
134900,-0.00011186011234567405
135000,-8.626061125273238e-05
135100,-8.0881095553049e-05
135200,-7.17312709219242e-05
135300,-6.58380281282158e-05
135400,-5.999540297913931e-05
135500,-5.494162139032949e-05
135600,-5.3303356517889756e-05
135700,-5.611692884465447e-05
135800,-6.706863405998265e-05
135900,-8.131901572293113e-05
136000,-0.00010558061340233221
136100,-0.00013049621347752585
136200,0.0001604582349430588
136300,0.0002599372840365042
136400,0.00023433909033494194
136500,7.749888507883917e-05
136600,7.242635322745832e-05
136700,0.00015800627741377287
136800,0.0004669526514103696
136900,0.0004726673503824497
137000,0.00042098530780917856
137100,0.0003287125454497522
137200,-0.0005336220540196384
137300,-0.0006491130256232018
137400,-0.000998761256810897
137500,-0.0009406913639258375
137600,-0.0005510662114036728
137700,-0.0004648592659842902
137800,-0.0003874987628999343
137900,-0.0002274344066275269
138000,8.916619852100979e-05
138100,0.00011564464301296988
138200,0.00011468946756982258
138300,0.00011422721697611582
138400,0.0001190679572186029
138500,0.0001552741209161997
138600,0.00015790394858930778
138700,0.00016165123545893573
138800,4.15264256503768e-05
138900,-3.4421036916430106e-05
139000,-3.0586355014492625e-05
139100,0.0006693658252810476
139200,0.0005610740376648943
139300,0.0005129618389928872
139400,0.0008042051987274116
139500,0.0007653617212431487
139600,0.0006985290349441212
139700,0.0006219696206598922
139800,0.0005697889007496627
139900,0.00025845971802205403
140000,0.0002692588851510507
140100,0.0002926162508080984
140200,0.0003239542208013852
140300,0.0003660874065971543
140400,0.0003751616782933408
140500,0.0005067773452982515
140600,0.00010659158334495364
140700,0.0002580834828005925
140800,0.0005212822954586591
140900,0.0009702546998578304
141000,0.0
141100,0.0
141200,-0.0009459132063449217
141300,-0.0008833781751720636
141400,-0.0009417501569193687
141500,-0.0010255880609259722
141600,-0.0010642890551853825
141700,0.0
141800,0.0
141900,0.0
142000,0.0
142100,0.0
142200,0.00022204114390748562
142300,0.0002106249986706074
142400,0.00021770594031345628
142500,1.98293514792939e-05
142600,-0.00014244953466486553
142700,-0.00014235696197180438
142800,-0.0001499085253839338
142900,-0.0002519205953518488
143000,-0.0002777837444972248
143100,-0.001827850884176233
143200,-0.0012271399246400133
143300,-0.00017760883752248536
143400,-0.00010537046442984915
143500,-5.02261511215262e-05
143600,-0.00018327648006549027
143700,-0.0001733552630696091
143800,0.00020800058220722776
143900,0.00023573521268524004
144000,0.0
144100,0.0
144200,0.0
144300,0.0
144400,0.0
144500,0.0
144600,0.0
144700,-0.00026685689335122784
144800,-0.00013380761081410007
144900,-0.00010349474280484736
145000,-9.967411376658355e-05
145100,-0.00010288205494311638
145200,-0.00010906337763647694
145300,-0.00011748165744352685
145400,-0.0001267346554640416
145500,-0.0001371696387341535
145600,-0.00014826463884587727
145700,-0.00016103495155829126
