RT(milliseconds);ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;ges.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle;inf.Knolle
121000;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,419334;0,0;0,0;0,0;0,0;0,0;0,0;32,66963;0,0;0,0;34,545975;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;316,5802;519,02655;222,33186;0,0;0,0;455,45352;0,0;40,729286;0,0;356,18954;471,7264;0,0;35,647434;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;410,56464;0,0;0,0;467,96878;0,0;0,0;0,0;0,0;176,42686;0,0;236,80035
121100;0,0;43,625076;52,40692;0,0;0,0;0,0;60,97941;0,0;0,0;0,0;0,0;30,969048;32,852364;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,584873;56,365093;0,0;0,0;0,0;0,0;0,0;0,0;75,473785;0,0;0,0;50,261524;0,0;40,155426;0,0;0,0;53,559742;0,0;55,301624;0,0;433,74408;795,585;316,92865;0,0;0,0;728,8497;0,0;46,41978;0,0;482,09387;692,91003;0,0;69,71432;0,0;34,737633;0,0;54,608177;0,0;0,0;0,0;31,19094;0,0;0,0;671,32355;0,0;0,0;857,87354;0,0;44,638393;0,0;227,55751;501,6547;0,0;605,6212
121200;30,933092;54,854202;63,946682;33,90186;0,0;0,0;63,135273;0,0;0,0;36,66984;0,0;0,0;35,177433;0,0;33,708427;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,04204;0,0;0,0;0,0;0,0;0,0;0,0;96,9173;0,0;0,0;51,921444;0,0;38,32866;0,0;0,0;57,451035;0,0;61,79913;0,0;388,0137;774,6775;290,42966;0,0;0,0;719,24567;0,0;0,0;0,0;419,66763;667,5263;0,0;54,713303;0,0;44,385063;0,0;56,38527;0,0;0,0;0,0;0,0;0,0;36,315403;705,9012;35,80707;0,0;1000,0013;0,0;32,415516;0,0;522,3428;750,88574;150,92693;875,0643
121300;32,167988;48,13888;57,921356;37,92545;0,0;0,0;42,05402;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;30,072266;0,0;0,0;0,0;0,0;40,064484;0,0;0,0;0,0;0,0;0,0;0,0;74,87275;0,0;0,0;57,124706;0,0;0,0;0,0;0,0;36,729137;0,0;41,7373;0,0;274,0505;584,39575;206,45668;0,0;0,0;551,4739;0,0;0,0;0,0;279,47522;505,09772;0,0;50,275703;0,0;46,253338;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,75675;569,7213;0,0;0,0;887,0029;0,0;0,0;0,0;744,1534;796,2144;408,6507;925,5005
121400;0,0;39,298763;49,018795;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;56,22427;0,0;0,0;47,621845;0,0;0,0;0,0;0,0;0,0;0,0;0,0;109,7899;173,207;396,0511;129,9316;0,0;0,0;387,99545;0,0;58,32183;0,0;163,92705;332,8347;0,0;64,871414;0,0;44,952816;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,046741;390,54422;0,0;0,0;666,62646;0,0;0,0;0,0;807,92194;688,06793;617,5255;813,6664
121500;0,0;33,71479;43,900383;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;51,186417;0,0;0,0;38,28512;0,0;0,0;0,0;0,0;0,0;0,0;0,0;271,43234;107,91716;265,681;80,022964;0,0;0,0;273,63074;0,0;153,07504;0,0;96,25247;204,47005;0,0;101,11124;0,0;42,653503;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;249,11409;0,0;0,0;454,00693;0,0;0,0;0,0;746,5331;526,6321;690,59686;632,45074
121600;0,0;36,51162;56,223587;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;101,2851;0,0;44,304638;40,33321;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,655266;0,0;0,0;575,6081;89,905495;238,88077;63,193848;0,0;0,0;251,5783;223,033;414,64905;94,24272;72,635345;144,02779;0,0;164,35318;0,0;40,239094;0,0;33,851303;0,0;0,0;0,0;0,0;35,673084;0,0;202,11365;0,0;0,0;357,8819;0,0;0,0;0,0;710,30054;451,22595;811,5927;522,1539
121700;0,0;48,339417;74,58531;37,621223;0,0;48,888725;0,0;0,0;0,0;0,0;0,0;34,456223;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;40,62347;40,998276;0,0;0,0;0,0;261,8034;0,0;131,37085;37,556217;0,0;0,0;0,0;0,0;0,0;0,0;0,0;39,21023;0,0;38,906197;931,18414;100,49686;277,76697;67,57134;0,0;0,0;303,16397;576,6098;771,2763;334,6162;76,1631;135,37238;0,0;213,75984;0,0;36,405876;32,677143;82,70512;0,0;0,0;0,0;43,785107;105,31764;0,0;219,37325;0,0;0,0;357,854;100,37769;0,0;0,0;718,7251;460,9042;993,02954;497,67804
121800;0,0;50,9262;69,87802;51,63919;0,0;81,16456;39,596252;0,0;0,0;0,0;0,0;30,30633;0,0;0,0;0,0;0,0;34,080276;37,695595;33,517387;0,0;0,0;0,0;38,13985;40,841312;0,0;0,0;0,0;378,6468;0,0;205,0452;51,53049;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,584145;0,0;40,497475;1000,0001;92,7495;264,0553;63,549664;0,0;56,140865;312,25046;839,7977;897,5676;606,1401;73,26517;121,83553;0,0;251,29222;0,0;30,55897;47,319904;109,1369;0,0;0,0;0,0;103,750786;173,00769;0,0;195,35336;0,0;0,0;308,76147;166,9035;51,651302;0,0;614,2464;396,19214;931,9403;414,12476
121900;0,0;47,484814;53,257763;52,296177;0,0;94,611465;38,697727;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;43,113266;36,992577;32,26558;31,37659;0,0;0,0;0,0;33,609253;0,0;0,0;0,0;435,51086;0,0;224,36041;61,54641;0,0;0,0;38,9698;0,0;0,0;0,0;0,0;37,369453;0,0;33,061188;876,63727;72,283264;210,74336;51,495205;0,0;85,14445;269,2003;947,1169;830,1754;799,09595;60,23194;94,85699;0,0;280,3798;0,0;0,0;63,575455;134,97385;30,075426;0,0;0,0;158,79724;201,98186;0,0;145,72377;0,0;0,0;230,78564;209,72417;88,80869;0,0;463,88037;296,51993;740,7007;306,95496
