RT(milliseconds),ges.Knolle,ges.Knolle.1,ges.Knolle.2,ges.Knolle.3,ges.Knolle.4,ges.Knolle.5,ges.Knolle.6,ges.Knolle.7,ges.Knolle.8,ges.Knolle.9,ges.Knolle.10,ges.Knolle.11,ges.Knolle.12,ges.Knolle.13,ges.Knolle.14,ges.Knolle.15,ges.Knolle.16,ges.Knolle.17,ges.Knolle.18,ges.Knolle.19,ges.Knolle.20,ges.Knolle.21,ges.Knolle.22,ges.Knolle.23,ges.Knolle.24,ges.Knolle.25,ges.Knolle.26,ges.Knolle.27,ges.Knolle.28,ges.Knolle.29,ges.Knolle.30,ges.Knolle.31,ges.Knolle.32,ges.Knolle.33,ges.Knolle.34,ges.Knolle.35,ges.Knolle.36,ges.Knolle.37,ges.Knolle.38,ges.Knolle.39,ges.Knolle.40,inf.Knolle,inf.Knolle.1,inf.Knolle.2,inf.Knolle.3,inf.Knolle.4,inf.Knolle.5,inf.Knolle.6,inf.Knolle.7,inf.Knolle.8,inf.Knolle.9,inf.Knolle.10,inf.Knolle.11,inf.Knolle.12,inf.Knolle.13,inf.Knolle.14,inf.Knolle.15,inf.Knolle.16,inf.Knolle.17,inf.Knolle.18,inf.Knolle.19,inf.Knolle.20,inf.Knolle.21,inf.Knolle.22,inf.Knolle.23,inf.Knolle.24,inf.Knolle.25,inf.Knolle.26,inf.Knolle.27,inf.Knolle.28,inf.Knolle.29,inf.Knolle.30,inf.Knolle.31,inf.Knolle.32,inf.Knolle.33,inf.Knolle.34
131600,"0,0","0,0","0,0","0,0","0,0","66,10869","0,0","0,0","0,0","52,844456","0,0","82,43363","0,0","0,0","0,0","167,18834","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","45,02158","112,09267","0,0","0,0","0,0","0,0","0,0","0,0","0,0","151,80132","86,24076","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","95,390434","0,0","0,0","0,0","0,0","0,0","0,0","50,925426","0,0","0,0","0,0","0,0","0,0","70,026825","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
144000,"0,0","0,0","0,0","0,0","0,0","66,953705","0,0","0,0","0,0","56,92258","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","81,72083","0,0","0,0","0,0","70,23473","109,55418","0,0","61,421906","0,0","116,41372","0,0","0,0","145,5774","0,0","0,0","84,821526","0,0","0,0","0,0","0,0","69,117676","0,0","63,372463","0,0","0,0","0,0","0,0","0,0","80,76798","0,0","0,0","0,0","0,0","0,0","0,0","0,0","70,42138","0,0","0,0","0,0","0,0","0,0","0,0","0,0","176,56697","49,423176","0,0","0,0","64,75472","0,0","0,0","85,37615","109,278","0,0","0,0","0,0","0,0","0,0"
157200,"0,0","0,0","0,0","0,0","0,0","71,66543","0,0","0,0","0,0","72,00306","0,0","66,26726","0,0","0,0","0,0","0,0","0,0","0,0","109,68849","0,0","0,0","0,0","47,03315","67,24294","0,0","124,16119","0,0","99,51753","0,0","0,0","160,2992","0,0","0,0","94,24005","0,0","0,0","0,0","0,0","106,55526","0,0","0,0","0,0","0,0","0,0","0,0","0,0","72,257126","0,0","0,0","0,0","0,0","0,0","0,0","0,0","59,643845","0,0","0,0","0,0","0,0","0,0","0,0","0,0","167,46637","0,0","59,96652","0,0","57,690697","0,0","0,0","89,77916","94,02513","0,0","0,0","0,0","0,0","0,0"
173900,"0,0","0,0","0,0","0,0","0,0","49,706623","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","46,00955","0,0","0,0","0,0","55,897354","0,0","0,0","54,838623","0,0","116,62314","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","53,984528","0,0","53,558212","0,0","0,0","0,0","0,0","0,0","75,60623","0,0","0,0","0,0","0,0","0,0","0,0","0,0","46,516895","0,0","0,0","0,0","0,0","0,0","0,0","0,0","139,86629","0,0","0,0","0,0","0,0","0,0","0,0","61,144375","75,746895","0,0","0,0","0,0","0,0","0,0"
188300,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","70,05799","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
202200,"0,0","47,748432","55,99393","49,77816","0,0","52,94554","0,0","0,0","0,0","0,0","0,0","46,015564","0,0","0,0","0,0","0,0","63,976215","0,0","0,0","0,0","0,0","0,0","0,0","66,919","46,158566","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","52,925583","51,65504","0,0","0,0","0,0","0,0","53,176853","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","48,16322","0,0","68,51718","0,0","0,0","0,0","45,13713","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
233300,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","54,861","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
244400,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","56,80248","102,06125","0,0","91,02101","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","67,00756","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
254200,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
279400,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
